sku,name,brand,id,image_src
130690-410,AJ12 Obsidian,AJ12,,
130690-617,AJ12 Bordeaux,AJ12,,
151186-006,PS AJ12 Playoff,TD/PS,,
151186-015,PS AJ12 Stealth,TD/PS,,
153265-006,AJ12 Playoff GS,AJ12,,
153265-170,AJ12 Taxi GS,AJ12,,
302370-121,AJ9 Kobe Bryant PE,AJ9,,
304292-043,SB Dunk Low Concord,Dunk SB,,
305050-661,SB Dunk Low Concepts Red Lobster,Dunk SB,,
305050-731,SB Dunk High Marge Simpson,Dunk SB,,
308497-060,AJ4 Bred,AJ4 Men,,
310805-408,AJ10 Tinker,AJ10,,
313170-811,SB Dunk Low Orange Box,Dunk SB,,
313171-039,SB Dunk High Silver Box,Dunk SB,,
376682-01,Puma Rick and Morty,Other,,
378037-061,AJ11 Playoff Bred,AJ11,,
378038-003,AJ11 Space Jam GS,AJ11,,
378038-005,AJ11 Cool Grey GS,AJ11,,
378038-011,AJ11 Jubilee GS,AJ11,,
378038-061,AJ11 Playoff Bred GS,AJ11,,
378039-005,PS AJ11 Cool Grey,TD/PS,,
384664-113,AJ6 Alternate Hare,AJ5-6 Men,,
384665-012,AJ6 Georgetown GS,AJ5-6 GS,,
384665-063,AJ6 Bordeaux GS,AJ5-6 GS,,
384665-410,AJ6 UNC GS,AJ5-6 GS,,
398614-030,AJ3 Pine Green GS,AJ2-3,,
398614-126,AJ3 Cardinal GS,AJ2-3,,
408452-016,AJ4 Red Thunder GS,AJ4 GS,,
408452-061,AJ4 Infrared GS,AJ4 GS,,
408452-111,AJ4 Military GS,AJ4 GS,,
408452-400,AJ4 UNC GS,AJ4 GS,,
408452-700,AJ4 Lightning GS,AJ4 GS,,
414571-144,AJ13 Obsidian Blue,AJ13,,
414571-167,AJ13 Del Sol,AJ13,,
440888-004,AJ5 Racer Blue GS,AJ5-6 GS,,
440888-300,AJ5 Jade Horizon GS,AJ5-6 GS,,
440889-004,PS AJ5 Racer Blue,TD/PS,,
487471-701,AJ14 Light Ginger,AJ14,,
504750-061,SB Dunk Low Disposable,Dunk SB,,
504750-660,SB Dunk Low Rukus Crawfish,Dunk SB,,
505836-117,TD AJ11 Legend Blue,TD/PS,,
528895-033,AJ11 Green Snakeskin,AJ11,,
553558-052,AJ1 Low Shadow Toe,AJ1 Low Men,,
553558-163,AJ1 Low Bulls,AJ1 Low Men,,
553558-612,AJ1 Low Bred Toe,AJ1 Low Men,,
553560-052,GS AJ1 Low Shadow Toe,AJ1 Low GS,,
553560-062,GS AJ1 Low Black Grey Pink,AJ1 Low GS,,
553560-606,GS AJ1 Low Reverse Bred,AJ1 Low GS,,
553560-612,GS AJ1 Low Bred Toe,AJ1 Low GS,,
554724-082,AJ1 Mid Linen,AJ1 Mid Men,,
554724-096,AJ1 Mid Shadow Red,AJ1 Mid Men,,
554724-371,AJ1 Mid Sonics,AJ1 Mid Men,,
554724-441,AJ1 Mid Navy,AJ1 Mid Men,,
554724-701,AJ1 Mid Taxi,AJ1 Mid Men,,
554725-016,GS AJ1 Mid Very Berry,AJ1 Mid GS,,
554725-069,GS AJ1 Mid Chicago Toe,AJ1 Mid GS,,
554725-074,GS AJ1 Mid Banned,AJ1 Mid GS,,
554725-075,GS AJ1 Mid Black Chile Red,AJ1 Mid GS,,
554725-096,GS AJ1 Mid Shadow Red,AJ1 Mid GS,,
554725-201,GS AJ1 Mid Curry Cardinal,AJ1 Mid GS,,
554725-411,GS AJ1 Mid Navy,AJ1 Mid GS,,
554725-665,GS AJ1 Mid Reverse Bred,AJ1 Mid GS,,
555088-013,AJ1 High Shadow 1.0,AJ1 High Men,,
555088-028,AJ1 High Shattered 3.0,AJ1 High Men,,
555088-030,AJ1 High Pine Green,AJ1 High Men,,
555088-032,AJ1 High Metallic Gold,AJ1 High Men,,
555088-035,AJ1 High Shadow 2.0,AJ1 High Men,,
555088-041,AJ1 High Royal Toe,AJ1 High Men,,
555088-061,AJ1 High Gym Red,AJ1 High Men,,
555088-062,AJ1 High Bloodline,AJ1 High Men,,
555088-063,AJ1 High Patent Bred,AJ1 High Men,,
555088-105,AJ1 High Dark Mocha,AJ1 High Men,,
555088-108,AJ1 High Bleached Coral,AJ1 High Men,,
555088-118,AJ1 High Volt,AJ1 High Men,,
555088-126,AJ1 High Light Smoke Grey,AJ1 High Men,,
555088-134,AJ1 High University Blue Black,AJ1 High Men,,
555088-140,AJ1 High Obsidian UNC,AJ1 High Men,,
555088-161,AJ1 High Heritage,AJ1 High Men,,
555088-180,AJ1 High Electro Orange,AJ1 High Men,,
555088-201,AJ1 High Tokyo Bio,AJ1 High Men,,
555088-311,AJ1 High Turbo Green,AJ1 High Men,,
555088-402,AJ1 High Hyper Royal,AJ1 High Men,,
555088-404,AJ1 High Marina Blue,AJ1 High Men,,
555088-603,AJ1 High Fusion Red,AJ1 High Men,,
555088-611,AJ1 High Bordeaux,AJ1 High Men,,
555088-701,AJ1 High Pollen,AJ1 High Men,,
555088-702,GS AJ1 High Brotherhood,AJ1 High GS,,
555088-706,AJ1 High Brotherhood,AJ1 High Men,,
575441-029,GS AJ1 High CO Japan,AJ1 High GS,,
575441-030,GS AJ1 High Pine Green,AJ1 High GS,,
575441-032,GS AJ1 High Metallic Gold,AJ1 High GS,,
575441-035,GS AJ1 High Shadow 2.0,AJ1 High GS,,
575441-037,GS AJ1 High Stealth,AJ1 High GS,,
575441-063,GS AJ1 High Patent Bred,AJ1 High GS,,
575441-108,GS AJ1 High Bleached Coral,AJ1 High GS,,
575441-126,GS AJ1 High Light Smoke Grey,AJ1 High GS,,
575441-134,GS AJ1 High UNC,AJ1 High GS,,
575441-201,GS AJ1 High Tokyo Bio,AJ1 High GS,,
575441-402,GS AJ1 High Hyper Royal,AJ1 High GS,,
575441-404,GS AJ1 High Marina Blue,AJ1 High GS,,
575441-611,GS AJ1 High Bordeaux,AJ1 High GS,,
575441-701,GS AJ1 High Pollen,AJ1 High GS,,
616752-016,SB Dunk High Send Help 2,Dunk SB,,
705178-045,AJ10 Lady of Liberty,AJ10,,
819171-417,AJ5 Knicks,AJ5-6 Men,,
861428-007,AJ1 High Patent Gold Toe,AJ1 High Men,,
883232-442,SB Dunk Low Murasaki Ride Life,Dunk SB,,
884129-015,AJ13 Count Purple GS,AJ13,,
918321-381,SB Dunk High Thomas Campbell,Dunk SB,,
AJ7730-001,SB Dunk High Bred,Dunk SB,,
AQ2664-063,PS AJ1 Patent Bred,TD/PS,,
AQ2665-161,TD AJ1 Heritage,TD/PS,,
AQ3835-160,AJ3 Tinker Hatfield,AJ2-3,,
AQ9129-500,AJ4 Canyon Purple W,AJ4 Men,,
AR4491-025,AJ9 Black Gum,AJ9,,
AV4168-776,SB Dunk High Humidity (Special Box),Dunk SB,,
B37571,Yeezy 350 Blue Tint,Yeezy 350,,
B75571,Yeezy 700 Wave Runner,Yeezy 500-700,,
BB550HL1,NB550 UNC,Other,,
BQ6472-015,W AJ1 Mid Light Smoke Grey,AJ1 Mid/Low Women,,
BQ6472-105,W AJ1 Mid Wolf Grey,AJ1 Mid/Low Women,,
BQ6472-121,W AJ1 Mid Coconut,AJ1 Mid/Low Women,,
BQ6817-007,SB Dunk Low J-Pack Shadow,Dunk SB,,
BQ6817-202,SB Dunk Low Dark Russet Cedar,Dunk SB,,
BQ6817-400,SB Dunk Low Blue Fury,Dunk SB,,
BQ6817-700,SB Dunk Low Reverse Papa Bear,Dunk SB,,
BQ6817-800,SB Dunk Low Laser Orange,Dunk SB,,
BQ6931-402,GS AJ1 Mid Signal Blue,AJ1 Mid GS,,
BQ6931-802,GS AJ1 Mid Turf Orange,AJ1 Mid GS,,
BQ7669-016,PS AJ4 Red Thunder,TD/PS,,
BQ7670-016,TD AJ4 Red Thunder,TD/PS,,
BQ7670-111,TD AJ4 Military,TD/PS,,
BQ7670-700,TD AJ4 Lightning,TD/PS,,
BV1310-013,SB Dunk Low Staple Panda Pigeon,Dunk SB,,
BY1604,Yeezy 350 Core Black White,Yeezy 350,,
CD0461-002,W AJ1 High Seafoam,AJ1 High Women,,
CD0461-016,W AJ1 High Satin Toe,AJ1 High Women,,
CD0461-046,W AJ1 High NC to Chi,AJ1 High Women,,
CD0461-100,W AJ1 High Tie Dye,AJ1 High Women,,
CD0461-601,W AJ1 High Satin Snake,AJ1 High Women,,
CD2563-001,SB Dunk Low Orange Label,Dunk SB,,
CD2563-004,SB Dunk Low Infrared Orange Label,Dunk SB,,
CD4487-100,AJ1 High Travis Scott,Other,,
CD6578-006,AJ1 High SB NYC to Paris,AJ1 High Men,,
CI2692-400,SB Dunk High Doraemon,Dunk SB,,
CI2970-001,AJ4 Laser Gum GS,AJ4 GS,,
CK6631-307,AJ5 SE Oregon,AJ5-6 Men,,
CP9652,Yeezy 350 Black Red,Yeezy 350,,
CP9654,Yeezy 350 Zebra,Yeezy 350,,
CQ9541-704,AJ5 Michigan,AJ5-6 Men,,
CT4838-004,AJ5 Racer Blue,AJ5-6 Men,,
CT4838-011,AJ5 Moonlight,AJ5-6 Men,,
CT4954-007,AJ6 DMP,AJ5-6 Men,,
CT5053-001,SB Dunk Low Travis Scott,Dunk SB,,
CT8012-005,AJ11 Cool Grey,AJ11,,
CT8012-011,AJ11 Jubilee 25th,AJ11,,
CT8013-006,AJ12 Playoff,AJ12,,
CT8013-015,AJ12 Stealth,AJ12,,
CT8013-106,AJ12 Twist,AJ12,,
CT8013-170,AJ12 Taxi,AJ12,,
CT8527-016,AJ4 Red Thunder,AJ4 Men,,
CT8527-400,AJ4 UNC,AJ4 Men,,
CT8527-700,AJ4 Lightning,AJ4 Men,,
CT8529-012,AJ6 Georgetown,AJ5-6 Men,,
CT8529-063,AJ6 Bordeaux,AJ5-6 Men,,
CT8529-106,AJ6 Carmine,AJ5-6 Men,,
CT8529-410,AJ6 UNC,AJ5-6 Men,,
CT8532-105,AJ3 Dark Iris,AJ2-3,,
CT8532-126,AJ3 Cardinal Red,AJ2-3,,
CU0449-641,TD AJ1 Atmosphere,TD/PS,,
CU0450-061,TD AJ1 Varsity Red,TD/PS,,
CU3244-100,SB Dunk Low Ben Jerry,Dunk SB,,
CV1628-800,SB Dunk Low Street Hawker,Dunk SB,,
CV1655-600,SB Dunk Low Pink Pig,Dunk SB,,
CV5276-001,W AJ1 Mid Multi Patent,AJ1 Mid/Low Women,,
CV5276-107,W AJ1 Mid Laser Orange,AJ1 Mid/Low Women,,
CW1588-100,PS Dunk Panda,TD/PS,,
CW1589-100,TD Dunk Panda,TD/PS,,
CW1590-001,Dunk Low GS Hyper Cobalt,Dunk low GS,,
CW1590-004,Dunk Low GS Georgetown,Dunk low GS,,
CW1590-100,Dunk Low GS Panda,Dunk low GS,,
CW2190-002,Kobe 6 Protro Mambacita Sweet 16,Other,,
CW2288-001,AF1 white,AF1,,
CZ1786-001,AJ5 Top 3,AJ5-6 Men,,
CZ2239-600,SB Dunk Low What the Paul,Dunk SB,,
CZ2496-001,Dunk Low GS Free 99 Black,Dunk low GS,,
CZ5624-100,AJ4 PSG Pairs Saint,AJ4 Men,,
CZ9747-900,Dunk low men Cummunite Garden,Dunk Low Men,,
DA9626-100,SB Dunk High Orange Label Unbleached Natural,Dunk SB,,
DB0732-200,AJ4 Taupe Haze,AJ4 Men,,
DB2179-102,Dunk High Game Royal,Dunk High,,
DB2179-103,Dunk High Panda,Dunk High,,
DB2179-105,Dunk High Cargo Khaki,Dunk High,,
DB2179-400,Dunk High Obsidian,Dunk High,,
DB2908,Yeezy 500 Blush,Yeezy 500-700,,
DC0774-041,W AJ1 Low UNC,AJ1 Mid/Low Women,,
DC0774-114,W AJ1 Low Marina Blue,AJ1 Mid/Low Women,,
