id,product,price,stockx_price,size,added_on,storage_loc,storage_addr
2022-10-20-000001,CW1589-100,166.0,66,4K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000002,CW1589-100,166.0,66,4K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000003,CW1589-100,166.0,66,4K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000004,CW1589-100,169.0,69,5K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000005,CW1589-100,169.0,69,5K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000006,CW1589-100,169.0,69,5K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000007,CW1589-100,169.0,69,5K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000008,CW1589-100,163.0,63,6K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000009,CW1589-100,166.0,66,7K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000010,CW1589-100,166.0,66,7K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000011,CW1589-100,166.0,66,7K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000012,CW1589-100,166.0,66,7K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000013,CW1589-100,166.0,66,7K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000014,CW1589-100,166.0,66,7K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000015,CW1589-100,164.0,64,8K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000016,CW1589-100,164.0,64,9K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000017,CW1589-100,164.0,64,9K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000018,CW1589-100,164.0,64,9K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000019,CW1589-100,163.0,63,10K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000020,CW1589-100,163.0,63,10K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000021,CW1589-100,163.0,63,10K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000022,CW1588-100,175.0,75,12K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000023,CW1588-100,175.0,75,12K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000024,CW1588-100,175.0,75,12K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000025,CW1588-100,173.0,73,13K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000026,CW1588-100,179.0,79,1Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000027,CW1588-100,179.0,79,1Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000028,CW1588-100,176.0,76,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000029,CW1588-100,176.0,76,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000030,CW1588-100,176.0,76,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000031,CW1588-100,176.0,76,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000032,CW1588-100,176.0,76,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000033,CW1588-100,176.0,76,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000034,CW1588-100,176.0,76,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000035,CW1588-100,180.0,80,2.5Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000036,CW1588-100,189.0,89,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000037,CW1588-100,189.0,89,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000038,CW1588-100,189.0,89,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000039,CW1588-100,189.0,89,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000040,CW1588-100,189.0,89,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000041,CW1588-100,189.0,89,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000042,CW1588-100,189.0,89,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000043,CW1588-100,189.0,89,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000044,CW1588-100,189.0,89,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000045,DC9562-100,154.0,54,6K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000046,DC9562-111,174.0,74,9K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000047,DC9564-111,178.0,78,12K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000048,DC9564-111,178.0,78,12K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000049,DC9564-111,190.0,90,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000050,DC9564-111,190.0,90,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000051,DC9564-100,175.0,75,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000052,DH9756-001,199.0,99,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000053,DH9756-001,199.0,99,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000054,DH9756-001,199.0,99,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000055,DH9756-301,182.0,82,13K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000056,DH9756-301,175.0,75,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000057,DH9756-600,191.0,91,10.5K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000058,DH9756-600,194.0,94,1.5Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000059,DH9756-600,183.0,83,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000060,DH9756-600,198.0,98,2.5Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000061,DX3364-100,173.0,73,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000062,505836-117,195.0,95,8K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000063,378039-005,213.0,113,11K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000064,151186-015,179.0,79,12K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000065,151186-015,179.0,79,12K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000066,151186-006,197.0,97,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000067,151186-006,197.0,97,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000068,AQ2664-063,232.0,132,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000069,AQ2665-161,153.0,53,9K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000070,AQ2665-161,153.0,53,9K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000071,BQ7669-016,209.0,109,13K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000072,BQ7669-016,214.0,114,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000073,BQ7670-700,171.0,71,6K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000074,BQ7670-016,197.0,97,8K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000075,BQ7670-111,175.0,75,10K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000076,BQ7670-111,175.0,75,10K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000077,CU0450-061,171.0,71,5K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000078,CU0450-061,171.0,71,5K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000079,CU0450-061,166.0,66,6K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000080,CU0449-641,245.0,145,3K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000081,CU0449-641,245.0,145,3K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000082,CU0449-641,245.0,145,3K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000083,DC4102-100,155.0,55,4K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000084,DH0573-264,191.0,91,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000085,DM0968-105,188.0,88,6K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000086,DM0968-105,173.0,73,8K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000087,DM0966-105,178.0,78,13K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000088,DM0968-160,179.0,79,7K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000089,DM0968-160,150.0,50,9K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000090,DM0968-160,157.0,57,10K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000091,440889-004,199.0,99,3Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000092,GW3775,287.0,187,2Y,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000093,GW3776,291.0,191,6K,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000094,HP5348,219.0,119,Unknown,2022-10-20 00:00:00,N/A,Kickz Maryland
2022-10-20-000095,HP5348,220.0,120,Unknown,2022-10-20 00:00:00,N/A,Kickz Maryland
