sku,name,brand,category,id,image_src
GX9662,Yeezy 450 Cinder,Yeezy 380 450,Yeezy350,,../static/images/GX9662.png
GY0260,Yeezy 700 Kyanite,Yeezy 500-700,Yeezy350,,../static/images/GY0260.png
GY1759,Yeezy Knit,Yeezy Knit,Yeezy350,,../static/images/GY1759.png
GY3438,Yeezy 350 Light,Yeezy 350,Yeezy350,,../static/images/GY3438.png
GY3969,Yeezy RNNR sand,Yeezy RNNR,Slide/RNNR,,../static/images/GY3969.png
GY5368,Yeezy 450 Dark Slate,Yeezy 380 450,Yeezy350,,../static/images/GY5368.png
GY7164,Yeezy 350 Dazzling Blue,Yeezy 350,Yeezy350,,../static/images/GY7164.png
GZ0454,Yeezy 380 Covellite,Yeezy 380 450,Yeezy350,,../static/images/GZ0454.png
GZ5551,Slide Resin,Yeezy Slide,Slide/RNNR,,../static/images/GZ5551.png
HO3665,Yeezy 450 Utility,Yeezy 380 450,Yeezy350,,../static/images/HO3665.png
HP5348,PS RNNR sulfur,PS,PS,,../static/images/HP5348.png
HP5349,PS RNNR sulfur,PS,PS,,../static/images/HP5349.png
HP5425,Yeezy 700 Mono Safflower,Yeezy 500-700,Yeezy350,,../static/images/HP5425.png
HP5426,Yeezy 450 Sulfur,Yeezy 380 450,Yeezy350,,../static/images/HP5426.png
HP7870,Yeezy 350 Slate,Yeezy 350,Yeezy350,,../static/images/HP7870.png
HP8739,Yeezy RNNR Oynx,Yeezy RNNR,Slide/RNNR,,../static/images/HP8739.png
HQ6316,Yeezy 350 Bone,Yeezy 350,Yeezy350,,../static/images/HQ6316.png
HQ6447,Slide Glw green,Yeezy Slide,Slide/RNNR,,../static/images/HQ6447.png
HQ6448,Slide oynx,Yeezy Slide,Slide/RNNR,,../static/images/HQ6448.png
HQ6979,Yeezy 700 Hi Res Red,Yeezy 500-700,Yeezy350,,../static/images/HQ6979.png
IG9562,Yeezy RNNR Carbon,Yeezy RNNR,Slide/RNNR,,../static/images/IG9562.png
